Date,Open,High,Low,Close,Adj Close,Volume,,
"July 30, 2020",12.4,12.4,12.4,12.4,12.233623,0,,
"July 31, 2020",12.4,12.4,12.4,12.4,12.233623,0,,
"August 03, 2020",12.4,12.4,12.4,12.4,12.233623,0,,
"August 04, 2020",12.4,12.4,12.4,12.4,12.233623,0,,
"August 05, 2020",12.4,12.4,12.4,12.4,12.233623,0,,
"August 06, 2020",11.7,12.509,11.7,12.509,12.34116,1800,,
"August 07, 2020",12.31,12.31,11.5,11.7,11.543015,1400,,
"August 10, 2020",11.873,12.87,11.54,12.87,12.697316,1000,,
"August 11, 2020",12.87,12.87,12.87,12.87,12.697316,0,,
"August 12, 2020",11.453,11.453,11.45,11.45,11.296369,200,,
"August 13, 2020",11.6,11.6,11.6,11.6,11.444357,500,,
"August 14, 2020",11.52,11.52,11.52,11.52,11.365431,500,,
"August 17, 2020",11.7,11.7,11.7,11.7,11.543015,400,,
"August 18, 2020",11.7,11.7,11.7,11.7,11.543015,0,,
"August 19, 2020",11.7,11.7,11.7,11.7,11.543015,0,,
"August 20, 2020",11.7,11.7,11.7,11.7,11.543015,0,,
"August 21, 2020",11.7,11.7,11.7,11.7,11.543015,0,,
"August 24, 2020",11.89,12.365,11.69,12.365,12.199092,1700,,
"August 25, 2020",12.048,12.048,11.71,11.71,11.55288,1300,,
"August 26, 2020",11.62,11.623,11.62,11.62,11.464088,500,,
"August 27, 2020",11.66,13,11.66,11.995,11.834057,1000,,
"August 28, 2020",11.995,11.995,11.995,11.995,11.834057,0,,
"August 31, 2020",11.995,11.995,11.995,11.995,11.834057,0,,
"September 01, 2020",12.54,12.54,12.54,12.54,12.371744,100,,
"September 02, 2020",11.518,12.18,11.518,12.18,12.016575,1100,,
"September 03, 2020",11.04,11.04,11.04,11.04,10.89187,800,,
"September 04, 2020",11.21,11.21,11.21,11.21,11.059589,1200,,
"September 08, 2020",12,12.675,12,12.675,12.504932,3400,,
"September 09, 2020",11.69,12.38,11.69,12.38,12.213891,2100,,
"September 10, 2020",13.318,13.318,13.318,13.318,13.139305,200,,
"September 11, 2020",13.318,13.318,13.318,13.318,13.139305,0,,
"September 14, 2020",12.12,12.12,12.12,12.12,11.957379,300,,
"September 15, 2020",12.62,12.885,12.42,12.42,12.253354,2100,,
"September 16, 2020",12.42,12.42,12.42,12.42,12.253354,0,,
"September 17, 2020",12.368,12.368,12.04,12.04,11.878452,1100,,
"September 18, 2020",13.2,13.2,12.17,12.17,12.006708,600,,
"September 21, 2020",12.17,12.17,12.17,12.17,12.006708,0,,
"September 22, 2020",12.17,12.17,12.17,12.17,12.006708,0,,
"September 23, 2020",11.64,11.64,11.64,11.64,11.48382,200,,
"September 24, 2020",12.618,12.62,12.618,12.62,12.45067,600,,
"September 25, 2020",12.62,12.62,12.62,12.62,12.45067,0,,
"September 28, 2020",12.62,12.62,12.62,12.62,12.45067,0,,
"September 29, 2020",11.693,11.693,11.69,11.69,11.533149,1600,,
"September 30, 2020",11.69,11.69,11.69,11.69,11.533149,0,,
"October 01, 2020",11.28,11.28,11.28,11.28,11.12865,300,,
"October 02, 2020",11.51,12.88,11.51,12.88,12.707182,400,,
"October 05, 2020",12.88,12.88,12.88,12.88,12.707182,0,,
"October 06, 2020",11.85,11.85,11.85,11.85,11.691003,200,,
"October 07, 2020",11.85,11.85,11.85,11.85,11.691003,0,,
"October 08, 2020",11.7,11.7,11.5,11.5,11.345698,200,,
"October 09, 2020",11.82,11.82,11.49,11.49,11.335833,700,,
"October 12, 2020",11.4,11.4,11.4,11.4,11.24704,3000,,
"October 13, 2020",11.19,11.19,11.19,11.19,11.039857,300,,
"October 14, 2020",11.413,11.7,11.41,11.7,11.543015,7000,,
"October 15, 2020",11.67,11.81,11.67,11.81,11.651539,500,,
"October 16, 2020",12.65,12.65,12.65,12.65,12.480268,400,,
"October 19, 2020",12.65,12.65,12.65,12.65,12.480268,0,,
"October 20, 2020",12.85,12.85,12.85,12.85,12.677585,200,,
"October 21, 2020",12.04,12.24,12.04,12.24,12.075769,1900,,
"October 22, 2020",12.16,12.163,12.16,12.16,11.996842,1500,,
"October 23, 2020",12.26,12.26,12.26,12.26,12.095501,1200,,
"October 26, 2020",12.43,12.43,12.43,12.43,12.26322,4400,,
"October 27, 2020",12.13,12.13,12.13,12.13,11.967245,1300,,
"October 28, 2020",12.13,12.13,12.13,12.13,11.967245,0,,
"October 29, 2020",12.17,12.665,12.17,12.665,12.495067,2000,,
"October 30, 2020",12.665,12.665,12.665,12.665,12.495067,0,,
"November 02, 2020",12.415,12.415,12.415,12.415,12.248421,300,,
"November 03, 2020",11.81,11.85,11.8,11.85,11.691003,3500,,
"November 04, 2020",12.99,13,12.99,13,12.825572,1000,,
"November 05, 2020",13,13,13,13,12.825572,0,,
